제목,부제목,훈련과정ID,훈련과정순차,훈련기관ID,훈련기관코드,지역코드,훈련시작일자,훈련종료일자,훈련시작_월,훈련종료_월,훈련기간_일,훈련기간_주,훈련기간_월,정원,수강신청인원,수강비,실제훈련비,만족도점수,NCS_코드,훈련대상,훈련구분,주소,전화번호,정원_대비_신청률,1차분류,2차분류,3차분류
소방기술사 1차 취득과정 (평가),(주)미동소방학원,AIG20230000440468,1,500033992111,201706262,11560,2024-03-16,2024-07-06,3,7,112,16.0,3.7,30,24,615360,920000,100.0,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2274-0119,80.0,,,
소방기술사 취득 (심화),(주)미동소방학원,AIG20230000440592,1,500033992111,201706262,11560,2024-03-16,2024-07-06,3,7,112,16.0,3.7,44,38,615360,920000,98.0,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2274-0119,86.4,,,
소방시설관리사 취득(이론 심화),모아소방전기학원,AIG20230000428348,1,500020011194,201402404,11560,2024-03-16,2024-05-04,3,5,49,7.0,1.6,23,9,307680,489600,94.6,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2068-2851,39.1,,,
중식조리기능사(실기),한솔요리커피제과제빵아카데미,AIG20230000423699,1,500020032977,200601481,11350,2024-03-16,2024-05-11,3,5,56,8.0,1.9,20,18,273600,273600,91.4,13010103,국민내일배움카드(일반),C0061, 노원구,02-3391-5252,90.0,,,
"헤어미용 실무과정(커트,펌)",동서울미용직업전문학교,AIG20230000416769,1,500020033545,200400567,11740,2024-03-16,2024-07-06,3,7,112,16.0,3.7,12,6,543480,543480,90.5,12010101,국민내일배움카드(일반),C0061, 강동구,02-471-0005,50.0,,,
[주말]인사급여지급 실무(급여계산/4대보험관리/원천징수/연말정산),하이미디어아카데미,AIG20220000388242,1,500020056026,200601104,11650,2024-03-16,2024-05-04,3,5,49,7.0,1.6,20,6,331890,331890,0.0,2020201,국민내일배움카드(일반),C0061, 서초구,02-3478-0008,30.0,정보통신,,
커피 핸드드립,동대문여성인력개발센터,AIG20220000389277,3,500020037155,200400272,11230,2024-03-16,2024-03-30,3,3,14,2.0,0.5,12,4,138600,168600,85.7,13010203,국민내일배움카드(일반),C0061, 동대문구,02-921-2020,33.3,,,
소방설비기사/산업기사 전기실기,세영직업전문학교,AIG20220000384871,7,500020042534,201301917,11560,2024-03-16,2024-04-20,3,4,35,5.0,1.2,30,8,288450,358450,94.3,5020102,국민내일배움카드(일반),C0061, 영등포구,02-2633-5119,26.7,,,
ITQ엑셀취득,영등포여성인력개발센터,AIG20220000386299,9,500020038144,200803064,11560,2024-03-16,2024-05-25,3,5,70,10.0,2.3,16,12,234000,234000,95.2,2020302,국민내일배움카드(일반),C0061, 영등포구,02-858-4514,75.0,정보통신,,
초보자도가능한 전산회계1급 취득과정,하이미디어아카데미인재개발원,AIG20220000382517,2,500020037340,201101542,11110,2024-03-16,2024-05-25,3,5,70,10.0,2.3,30,5,393600,393600,90.5,2030201,국민내일배움카드(일반),C0061, 종로구,02-723-0008,16.7,정보통신,,
[주말] 고수익을 위한 네이버 쇼핑몰 스마트스토어(스토어팜),이젠아카데미 DX교육센터,AIG20220000375895,7,500020050800,200600964,11110,2024-03-16,2024-04-20,3,4,35,5.0,1.2,20,19,269490,269490,94.6,10030102,국민내일배움카드(일반),C0061, 종로구,02-733-8781,95.0,,,
소방 시설 관리사(화재안전기준)취득 대비,모아소방전기학원,AIG20230000448222,1,500020011194,201402404,11560,2024-03-16,2024-05-04,3,5,49,7.0,1.6,35,32,307680,489600,94.0,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2068-2851,91.4,,,
전기기능사 실기 속성_B,모아직업기술교육원,AIG20230000450340,1,500035662356,201901182,11560,2024-03-16,2024-03-23,3,3,7,1.0,0.2,20,8,164400,170000,93.4,19010701,국민내일배움카드(일반),C0061, 영등포구,02-2068-2854,40.0,,,
보태니컬 아트 꽃그림,동대문여성인력개발센터,AIG20220000392352,6,500020037155,200400272,11230,2024-03-16,2024-05-04,3,5,49,7.0,1.6,12,6,134880,154880,78.6,8020101,국민내일배움카드(일반),C0061, 동대문구,02-921-2020,50.0,,,
플로리스트 구조물 조형 공간 디자인 과정,꽃이오면학원,AIG20230000445561,1,500020035147,201400449,11440,2024-03-16,2024-05-18,3,5,63,9.0,2.1,12,0,558600,690000,0.0,24010401,국민내일배움카드(일반),C0061, 마포구,02-704-8641,0.0,,,
파이썬(Python)프로그래밍 입문+챗GPT,더조은컴퓨터아카데미 종로,AIG20230000436117,1,500020018050,200801979,11110,2024-03-16,2024-04-14,3,4,29,4.1,1.0,20,7,397200,397200,87.3,20010202,국민내일배움카드(일반),C0061, 종로구,02-766-8368,35.0,정보통신,정보기술,정보기술개발
일식조리기능사(실기),한솔요리커피제과제빵아카데미,AIG20230000423333,1,500020032977,200601481,11350,2024-03-16,2024-05-11,3,5,56,8.0,1.9,20,19,273600,273600,94.2,13010104,국민내일배움카드(일반),C0061, 노원구,02-3391-5252,95.0,,,
에너지관리산업기사 실기,현대기술학원,AIG20230000424786,1,500020050153,201100249,11560,2024-03-16,2024-04-20,3,4,35,5.0,1.2,20,15,312480,650000,100.0,15050202,국민내일배움카드(일반),C0061, 영등포구,02-845-1119,75.0,,,
제과기능사자격증실기 과정,동아제과제빵기술학원,AIG20230000414307,1,500020050151,200903023,11560,2024-03-16,2024-06-01,3,6,77,11.0,2.6,15,1,380800,380800,100.0,21020101,국민내일배움카드(일반),C0061, 영등포구,02-2672-4438,6.7,,,
수질환경기사 산업기사 실기 과정,신동성환경기술학원,AIG20230000416804,1,500020055959,201001857,11590,2024-03-16,2024-04-21,3,4,36,5.1,1.2,35,11,331500,331500,98.4,23010103,국민내일배움카드(일반),C0061, 동작구,02-814-8151,31.4,,,
에너지관리산업기사(실기)자격증취득과정,세영직업전문학교,AIG20220000404684,3,500020042534,201301917,11560,2024-03-16,2024-04-27,3,4,42,6.0,1.4,23,16,476160,880384,88.6,15050205,국민내일배움카드(일반),C0061, 영등포구,02-2633-5119,69.6,,,
(국가자격)전기(산업)기사(실기)취득,에듀윌 국비교육원 구로센터,AIG20220000401855,5,500020055943,201403044,11530,2024-03-16,2024-04-21,3,4,36,5.1,1.2,20,8,548000,548000,93.2,19010701,국민내일배움카드(일반),C0061, 구로구,02-6482-0600,40.0,,,
정보보안(산업)기사 자격증 취득 과정(실기),메디치교육센터 평생교육시설,AIG20220000402383,2,500020016144,201402676,11545,2024-03-16,2024-04-20,3,4,35,5.0,1.2,20,10,317760,481536,92.9,20010206,국민내일배움카드(일반),C0061, 금천구,02-861-8568,50.0,정보통신,정보기술,정보기술개발
바리스타2급자격증취득과정,제너럴커피학원,AIG20230000451574,1,500020049063,201402547,11305,2024-03-16,2024-05-04,3,5,49,7.0,1.6,18,5,323400,323400,100.0,13010203,국민내일배움카드(일반),C0061, 강북구,010-5385-7416,27.8,,,
인테리어필름 시공(입문),다인직업전문학교,AIG20230000421081,1,500020015811,200702113,11470,2024-03-16,2024-04-14,3,4,29,4.1,1.0,20,16,545600,545600,92.9,14030209,국민내일배움카드(일반),C0061, 양천구,02-2695-6955,80.0,,,
소방설비(산업)기사 실기 (전기),주경야독 직업전문학교,AIG20220000387811,4,500020019071,201101225,11545,2024-03-16,2024-04-20,3,4,35,5.0,1.2,20,10,288450,288450,98.6,5020104,국민내일배움카드(일반),C0061, 금천구,02-395-3650,50.0,,,
『(주말)실기』초보자를 위한 OA실무 및 컴퓨터활용능력(컴활2급) 자격증(엑셀),그린컴퓨터아트학원,AIG20230000444278,1,500020062235,200300611,11110,2024-03-16,2024-04-13,3,4,28,4.0,0.9,20,13,180000,180000,91.8,2020302,국민내일배움카드(일반),C0061, 종로구,02-722-2111,65.0,정보통신,,
4대보험/급여관리/연말정산,구로여성인력개발센터,AIG20230000442342,1,500020039488,200200805,11530,2024-03-16,2024-05-25,3,5,70,10.0,2.3,20,17,255300,255300,78.6,2020201,국민내일배움카드(일반),C0061, 구로구,02-867-4456,85.0,정보통신,,
『(주말)CAD』실내인테리어/실내건축설계를 위한 캐드,그린컴퓨터아트학원,AIG20230000444296,1,500020062235,200300611,11110,2024-03-16,2024-04-27,3,4,42,6.0,1.4,20,7,265980,265980,57.1,14030104,국민내일배움카드(일반),C0061, 종로구,02-722-2111,35.0,,,
소방시설관리사 2차 실기(설계시공-심화),모아소방전기학원,AIG20230000448192,1,500020011194,201402404,11560,2024-03-16,2024-05-04,3,5,49,7.0,1.6,35,33,307680,489600,93.3,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2068-2851,94.3,,,
케익데코레이션반,한솔요리제과제빵바리스타아카데미,AIG20230000438819,2,500020029780,200601500,11650,2024-03-16,2024-05-11,3,5,56,8.0,1.9,20,12,244800,294800,94.3,21020101,국민내일배움카드(일반),C0061, 서초구,02-3482-5200,60.0,,,
건축전기설비기술사 자격취득과정 (정규반),유캠퍼스김기남전기정보통신학원,AIG20230000439980,1,500020030897,200800326,11560,2024-03-16,2024-08-24,3,8,161,23.0,5.4,20,5,789360,1295000,0.0,19010301,국민내일배움카드(일반),C0061, 영등포구,02-836-3543,25.0,,,
소방기술사 취득 (정규),(주)미동소방학원,AIG20230000440528,2,500033992111,201706262,11560,2024-03-16,2024-07-06,3,7,112,16.0,3.7,30,15,615360,920000,96.8,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2274-0119,50.0,,,
소방시설관리사 필기(핵심문제),모아소방전기학원,AIG20230000428379,1,500020011194,201402404,11560,2024-03-16,2024-05-04,3,5,49,7.0,1.6,23,13,307680,489600,88.6,5020104,국민내일배움카드(일반),C0061, 영등포구,02-2068-2851,56.5,,,
[주말반] 포토샵&일러스트 기초부터 활용까지_48H,역삼 그린컴퓨터아카데미,AIG20230000420823,1,500020046288,201200854,11680,2024-03-16,2024-05-04,3,5,49,7.0,1.6,20,18,332160,332160,88.3,22010102,국민내일배움카드(일반),C0061, 강남구,02-3481-1006,90.0,,,
"(주말반) 쇼핑몰, 오픈마켓, 네이버스마트스토어, G마켓, 옥션, 쿠팡, 상세페이지 제작향상",아세아직업전문학교,AIG20230000422400,1,500020019159,200400170,11170,2024-03-16,2024-04-07,3,4,22,3.1,0.7,20,4,397200,397200,95.2,20010207,국민내일배움카드(일반),C0061, 용산구,02-989-1567,20.0,정보통신,정보기술,정보기술개발
제과기능사 자격증 취득 주말과정(이론+실기),김상엽제과제빵학원,AIG20230000415268,1,500020038453,200300150,11320,2024-03-16,2024-05-25,3,5,70,10.0,2.3,11,11,374000,374000,89.0,21020101,국민내일배움카드(일반),C0061, 도봉구,02-991-1543,100.0,,,
"파이썬 빅데이터 분석(수집,전처리,시각화,웹크롤링,판다스)",이젠아카데미DX교육센터,AIG20220000404238,2,500020017427,200701876,11650,2024-03-16,2024-05-11,3,5,56,8.0,1.9,20,12,469120,469120,88.9,20010105,국민내일배움카드(일반),C0061, 서초구,02-532-6500,60.0,정보통신,정보기술,정보기술전략·계획
"조경기사,조경산업기사 필기 시험대비",주경야독 직업전문학교,AIG20220000400225,2,500020019071,201101225,11545,2024-03-16,2024-04-28,3,4,43,6.1,1.4,20,16,436480,436480,71.4,14050101,국민내일배움카드(일반),C0061, 금천구,02-395-3650,80.0,,,
프론트엔드 개발의 시작 뷰JS(Vue.JS),그린컴퓨터아트학원,AIG20220000401784,5,500020044990,200701633,11530,2024-03-16,2024-04-27,3,4,42,6.0,1.4,20,5,258180,258180,92.9,20010202,국민내일배움카드(일반),C0061, 구로구,02-2111-2000,25.0,정보통신,정보기술,정보기술개발
가죽미싱을 활용한 가죽샘플제작,코스모가죽학원,AIG20230000450077,1,500034722095,201803197,11680,2024-03-17,2024-05-12,3,5,56,8.0,1.9,15,6,383040,483040,100.0,22020107,국민내일배움카드(일반),C0061, 강남구,02-518-4561,40.0,,,
주얼리라이노캐드(주말반),한국보석학원,AIG20230000420723,1,500020037544,200601080,11110,2024-03-17,2024-06-30,3,6,105,15.0,3.5,10,9,703800,703800,52.4,22020201,국민내일배움카드(일반),C0061, 종로구,02-764-4500,90.0,,,
"가공화 상품 실무 향상과정(프리저브드,압화,건조화,인조화)",혜인즈블라썸플로리스트화훼학원,AIG20230000439081,1,500020056776,201700420,11680,2024-03-17,2024-05-26,3,5,70,10.0,2.3,12,5,446880,546880,90.5,24010401,국민내일배움카드(일반),C0061, 강남구,02-540-5436,41.7,,,
정보통신기술사 자격취득과정 (종합반),유캠퍼스김기남전기정보통신학원,AIG20230000442425,1,500020030897,200800326,11560,2024-03-17,2024-06-09,3,6,84,12.0,2.8,20,13,582560,1200000,92.9,20020201,국민내일배움카드(일반),C0061, 영등포구,02-836-3543,65.0,정보통신,통신기술,
요양보호사 취득(사회복지사 소지자),사당요양보호사교육원,AIG20230000423535,1,500034673522,201803006,11590,2024-03-17,2024-04-07,3,4,21,3.0,0.7,38,7,189850,250000,95.0,6010108,국민내일배움카드(일반),C0061, 동작구,02-525-7745,18.4,,,
"그래픽 콘텐츠(일러스트, 포토샵)39H",하이미디어컴퓨터학원,AIG20220000388274,6,500020039555,200800647,11740,2024-03-17,2024-04-28,3,4,42,6.0,1.4,22,10,258180,258180,83.7,20020318,국민내일배움카드(일반),C0061, 강동구,02-479-0009,45.5,정보통신,통신기술,
미용사(피부)자격증 (실기),GMB직업전문학교,AIG20230000431883,1,500020055869,200500916,11620,2024-03-17,2024-06-29,3,6,104,14.9,3.5,20,10,1222740,1222740,97.8,12010102,국민내일배움카드(일반),C0061, 관악구,02-885-2598,50.0,,,
"준학예사 1차 시험대비 (박물관학,전시기획론)",주경야독 직업전문학교,AIG20220000394388,2,500020019071,201101225,11545,2024-03-17,2024-05-12,3,5,56,8.0,1.9,20,12,405120,435570,100.0,8010401,국민내일배움카드(일반),C0061, 금천구,02-395-3650,60.0,,,
"플로리스트기초 양성과정A(꽃다발,꽃바구니,꽃꽂이상품,센터피스)",혜인즈블라썸플로리스트화훼학원,AIG20230000453330,2,500020056776,201700420,11680,2024-03-17,2024-05-26,3,5,70,10.0,2.3,12,5,518700,618700,93.5,24010401,국민내일배움카드(일반),C0061, 강남구,02-540-5436,41.7,,,
건강보험청구심사 실전응용과정,메디아이잠실보험학원,AIG20230000437179,1,500020019338,200701562,11710,2024-03-17,2024-04-07,3,4,21,3.0,0.7,10,7,111000,250000,100.0,6010201,국민내일배움카드(일반),C0061, 송파구,02-414-0006,70.0,,,
정보통신기사 실기취득향상과정,비앤피랩평생교육원,AIG20230000431591,1,500041496261,202201000,11650,2024-03-17,2024-04-21,3,4,35,5.0,1.2,37,19,238320,270000,97.0,20020102,국민내일배움카드(일반),C0061, 서초구,070-8154-1314,51.4,정보통신,통신기술,
대기환경기사 산업기사 실기 과정,신동성환경기술학원,AIG20230000414667,1,500020055959,201001857,11590,2024-03-17,2024-04-21,3,4,35,5.0,1.2,35,18,341640,341640,92.9,23010201,국민내일배움카드(일반),C0061, 동작구,02-814-8151,51.4,,,
케이크디자이너자격증주말과정,김상엽제과제빵학원,AIG20230000415399,1,500020038453,200300150,11320,2024-03-17,2024-05-19,3,5,63,9.0,2.1,11,8,340000,340000,72.7,21020101,국민내일배움카드(일반),C0061, 도봉구,02-991-1543,72.7,,,
전기기능사 실기 속성_A,모아직업기술교육원,AIG20230000450330,1,500035662356,201901182,11560,2024-03-18,2024-03-23,3,3,5,0.7,0.2,20,14,123300,130300,95.7,19010701,국민내일배움카드(일반),C0061, 영등포구,02-2068-2854,70.0,,,
SCA 국제 바리스타 자격증 취득과정(Foundation),대학로바리스타학원,AIG20230000424536,1,500034576573,201802658,11110,2024-03-18,2024-04-24,3,4,37,5.3,1.2,12,10,323400,410000,98.2,13010203,국민내일배움카드(일반),C0061, 종로구,02-765-6570,83.3,,,
일식조리기능사 자격 취득과정(실기),서초여성인력개발센터,AIG20230000438679,1,500020032056,200803067,11650,2024-03-18,2024-04-15,3,4,28,4.0,0.9,12,8,273600,323600,89.0,13010104,국민내일배움카드(일반),C0061, 서초구,02-6929-0011,66.7,,,
전기(산업)기사 실기특강1,서울공과전기학원,AIG20230000439088,1,500020020500,200803096,11560,2024-03-18,2024-04-17,3,4,30,4.3,1.0,40,26,452100,452100,92.9,19010701,국민내일배움카드(일반),C0061, 영등포구,02-2676-1114,65.0,,,
일본가정식 요리실무반,노원여성인력개발센터,AIG20230000420609,1,500020036948,200602061,11350,2024-03-18,2024-04-22,3,4,35,5.0,1.2,12,7,296400,346400,96.4,13010104,국민내일배움카드(일반),C0061, 노원구,02-951-0187,58.3,,,
커피바리스타 2급+1급 자격증 취득과정[국제+국내],"퍼스트아카데미(바리스타,제과제빵)학원노원",AIG20230000421448,1,500038948890,202200999,11350,2024-03-18,2024-04-17,3,4,30,4.3,1.0,10,6,462000,800000,71.4,13010203,국민내일배움카드(일반),C0061, 노원구,02-6959-2849,60.0,,,
"[영상편집디자인]마케팅(광고),유튜브용 영상제작(프리미어,에펙,모션그래픽)",그린컴퓨터아트학원,AIG20220000373136,2,500020062235,200300611,11110,2024-03-18,2024-06-12,3,6,86,12.3,2.9,20,10,1629800,1629800,100.0,8020104,국민내일배움카드(일반),C0061, 종로구,02-722-2111,50.0,,,
미용사(피부)자격증 실기속성과정,뷰티풀드림학습센터미용학원,AIG20230000441395,1,500034251814,201801093,11530,2024-03-18,2024-05-20,3,5,63,9.0,2.1,10,5,1054610,1054610,99.1,12010102,국민내일배움카드(일반),C0061, 구로구,02-854-1113,50.0,,,
산모신생아건강관리사,노원여성인력개발센터,AIG20230000428416,1,500020036948,200602061,11350,2024-03-18,2024-04-05,3,4,18,2.6,0.6,20,10,387600,387600,89.3,7030102,국민내일배움카드(일반),C0061, 노원구,02-951-0187,50.0,,,
미용사(네일) 국가자격증 취득(실기),시내코스평생교육원,AIG20220000387510,5,500037134292,202000505,11230,2024-03-18,2024-06-20,3,6,94,13.4,3.1,14,8,1242240,1242240,91.4,12010104,국민내일배움카드(일반),C0061, 동대문구,02-960-7423,57.1,,,
물류관리사 & 유통관리사2급 자격취득,에듀인능력개발원,AIG20230000440013,1,500020021928,200700119,11530,2024-03-18,2024-07-12,3,7,116,16.6,3.9,30,2,2118400,2118400,89.3,2040305,국민내일배움카드(일반),C0061, 구로구,02-803-3333,6.7,정보통신,,
네일아트 실무 및 드릴과정,우석미용학원,AIG20230000430375,1,500020059493,200901391,11410,2024-03-18,2024-05-30,3,5,73,10.4,2.4,10,7,1294000,1294000,100.0,12010104,국민내일배움카드(일반),C0061, 서대문구,02-323-9892,70.0,,,
실무 데이터 기반 반도체 소자/공정 엔지니어 융합과정,렛유인에듀이공계핵심인재양성평생교육원,AIG20230000455581,2,500020049962,201700424,11680,2024-03-18,2024-06-22,3,6,96,13.7,3.2,24,24,4459910,4459910,92.5,19030601,K-디지털 트레이닝,C0104, 강남구,02-539-1779,100.0,,,
BIM 건축 과정 (Revit Architecture),한국디지털평생교육원,AIG20220000369439,3,500020043775,201201617,11650,2024-03-18,2024-03-22,3,3,4,0.6,0.1,15,0,272800,761000,52.4,14030101,국민내일배움카드(일반),C0061, 서초구,02-6949-4997,0.0,,,
"플로리스트 양성과정(플라워 기본,이벤트 상품)",미소꽃예술학원,AIG20230000419788,1,500020037185,201001534,11650,2024-03-18,2024-06-03,3,6,77,11.0,2.6,13,4,638400,638400,100.0,24010401,국민내일배움카드(일반),C0061, 서초구,02-752-3388,30.8,,,
아이돌봄 인력 양성(신규),서대문여성인력개발센터,AIG20230000458839,1,500020060396,199800138,11410,2024-03-18,2024-04-26,3,4,39,5.6,1.3,25,16,469800,470000,89.4,7030103,국민내일배움카드(일반),C0061, 서대문구,02-332-8661,64.0,,,
헤어커트실무(남성컷/여성컷),GMB직업전문학교,AIG20230000438724,1,500020055869,200500916,11620,2024-03-18,2024-05-24,3,5,67,9.6,2.2,20,8,679300,679300,98.0,12010101,국민내일배움카드(일반),C0061, 관악구,02-885-2598,40.0,,,
3D블렌더와 언리얼 기반 메타버스 게임 디자이너 과정,더모션아카데미학원,AIG20230000439710,1,500036222061,201902685,11440,2024-03-18,2024-07-04,3,7,108,15.4,3.6,20,9,2308800,2308800,88.8,8030205,국민내일배움카드(일반),C0061, 마포구,02-1666-5309,45.0,,,
전기기능사 실기취득 배관배선 실습 특화과정,신화전기학원,AIG20230000437680,1,500020060455,200902930,11230,2024-03-18,2024-03-22,3,3,4,0.6,0.1,20,7,109600,109600,84.5,19010701,국민내일배움카드(일반),C0061, 동대문구,02-2215-0057,35.0,,,
"커피 브루잉 입문(홈카페마스터, 커피지도사2급)",코어드빈 바리스타학원,AIG20230000430312,1,500036124712,201902380,11500,2024-03-18,2024-04-15,3,4,28,4.0,0.9,20,4,369600,369600,100.0,13010203,국민내일배움카드(일반),C0061, 강서구,02-3664-1884,20.0,,,
한정식요리&김치조리실무과정,노원여성인력개발센터,AIG20230000420623,1,500020036948,200602061,11350,2024-03-18,2024-04-16,3,4,29,4.1,1.0,12,12,296400,346400,88.9,13010101,국민내일배움카드(일반),C0061, 노원구,02-951-0187,100.0,,,
무대음향 엔지니어 과정,퍼플미디어 아카데미학원,AIG20230000415659,1,500020015020,201201026,11440,2024-03-18,2024-09-11,3,9,177,25.3,5.9,10,2,1240320,4906000,96.4,8010304,국민내일배움카드(일반),C0061, 마포구,02-333-3958,20.0,,,
"수질환경기사 산업기사 필기I (개론 , 상하수도)",신동성환경기술학원,AIG20230000416709,1,500020055959,201001857,11590,2024-03-18,2024-04-08,3,4,21,3.0,0.7,35,7,331500,331500,89.3,23010103,국민내일배움카드(일반),C0061, 동작구,02-814-8151,20.0,,,
정리수납전문가2급 자격증취득,서초여성인력개발센터,AIG20220000393780,11,500020032056,200803067,11650,2024-03-18,2024-03-22,3,3,4,0.6,0.1,24,19,132400,132400,89.3,11020102,국민내일배움카드(일반),C0061, 서초구,02-6929-0011,79.2,,,
"웹디자인기능사 실기 취득(HTML,CSS,Jquery) ",에이치아카데미 D&D교육센터,AIG20210000342565,5,500020010894,200900755,11410,2024-03-18,2024-05-22,3,5,65,9.3,2.2,20,11,337200,337200,81.0,8020104,국민내일배움카드(일반),C0061, 서대문구,02-364-0008,55.0,,,
3D 디지털 패션디자이너 양성과정,글로벌패션학원,AIG20233000947632,2,500020048650,201400453,11140,2024-03-18,2024-08-08,3,8,143,20.4,4.8,14,12,5163600,5163600,79.4,18020102,산업구조변화대응,C0102, 중구,02-778-9003,85.7,,,
JAVA와 Python을 활용한 RPA & LowCode 웹기반 빅데이터분석 전문가 양성,엠비씨(MBC)아카데미 컴퓨터교육센터 본점,AIG20230000412678,3,500033330182,201703555,11500,2024-03-18,2024-09-19,3,9,185,26.4,6.2,30,23,9477000,9477000,80.7,20010202,K-디지털 트레이닝,C0104, 종로구,02-6958-5870,76.7,정보통신,정보기술,정보기술개발
(산대특)_ChatGPT와 데이터분석을 활용한 디지털콘텐츠기획자 양성_육성,메가스터디아이티(IT)아카데미학원,AIG20233000946921,1,500036090856,201902267,11680,2024-03-18,2024-09-05,3,9,171,24.4,5.7,20,14,8153600,8153600,71.4,8030101,산업구조변화대응,C0102, 강남구,02-588-9991,70.0,,,
"[실무프로젝트]자바 웹개발자(React, Springboot, intelliJ, AWS)",하이미디어아카데미인재개발원,AIG20230000455722,2,500020037340,201101542,11110,2024-03-18,2024-09-06,3,9,172,24.6,5.7,30,27,8908380,8908380,79.4,20010202,K-디지털 트레이닝,C0104, 종로구,02-723-0008,90.0,정보통신,정보기술,정보기술개발
"산업맞춤 스마트드론 설계 과정(솔리드웍스,3D프린터,CATIA,파이썬)",글로벌산업기술교육원,AIG20210000328599,5,500020021390,200601951,11545,2024-03-18,2024-08-29,3,8,164,23.4,5.5,20,17,8412300,8412300,97.0,15010201,K-디지털 트레이닝,C0104, 금천구,1600-2923,85.0,,,
바리스타 중급(1급+SCA)자격증 취득과정,서울바리스타학원,AIG20230000445226,1,500020050538,201301535,11110,2024-03-18,2024-05-13,3,5,56,8.0,1.9,18,8,554400,554400,95.2,13010203,국민내일배움카드(일반),C0061, 성북구,070-8828-6285,44.4,,,
간호조무사자격증 취득과정,강남메트로간호종합학원,AIG20230000417916,1,500020020993,200902060,11680,2024-03-18,2025-02-20,3,2,339,48.4,11.3,33,31,3420000,3420000,98.0,6020403,국민내일배움카드(일반),C0061, 강남구,02-567-3636,93.9,,,
미용사(피부) 국가자격증 취득과정,크리스챤쇼보미용학원,AIG20230000418169,1,500020060510,201300898,11350,2024-03-18,2024-06-19,3,6,93,13.3,3.1,15,12,1617500,1617500,86.9,12010102,국민내일배움카드(일반),C0061, 노원구,02-931-2081,80.0,,,
ITQ(한글+엑셀+파워포인트) 자격 취득 과정,송파컴퓨터회계학원,AIG20230000441667,1,500020062701,200900750,11710,2024-03-18,2024-04-03,3,4,16,2.3,0.5,10,5,234000,234000,90.5,2020302,국민내일배움카드(일반),C0061, 송파구,02-482-5589,50.0,정보통신,,
SNS쇼핑몰콘텐츠제작(포토샵),동대문여성인력개발센터,AIG20230000442170,1,500020037155,200400272,11230,2024-03-18,2024-04-29,3,4,42,6.0,1.4,16,10,248760,248760,92.9,10030102,국민내일배움카드(일반),C0061, 동대문구,02-921-2020,62.5,,,
[재응시용]전기기능사(실기)단기속성,에듀윌 국비교육원 구로센터,AIG20230000431428,2,500020055943,201403044,11530,2024-03-18,2024-03-20,3,3,2,0.3,0.1,20,13,109600,109600,96.8,19010701,국민내일배움카드(일반),C0061, 구로구,02-6482-0600,65.0,,,
양식 프랑스 가정식,한솔요리아카데미 강동,AIG20230000425481,1,500020030731,200601534,11740,2024-03-18,2024-04-15,3,4,28,4.0,0.9,20,6,182400,282400,96.4,13010102,국민내일배움카드(일반),C0061, 강동구,02-472-8400,30.0,,,
실무 노하우 대방출! 구글 애널리틱스(GA) 디지털마케팅(온라인 데이터 분석),역삼 그린컴퓨터아카데미,AIG20230000418520,1,500020046288,201200854,11680,2024-03-18,2024-04-26,3,4,39,5.6,1.3,20,16,238320,238320,46.4,20010202,국민내일배움카드(일반),C0061, 강남구,02-3481-1006,80.0,정보통신,정보기술,정보기술개발
(디지털디자인) 웹디자인 & 웹퍼블리셔(React) A,엠비씨(MBC)아카데미 컴퓨터교육센터 화곡점,AIG20230000432007,1,500020044103,200701729,11500,2024-03-18,2024-08-09,3,8,144,20.6,4.8,30,22,4482800,4482800,94.6,8020104,스마트혼합훈련,C0054Y, 강서구,02-2675-1750,73.3,,,
(스마트웹&콘텐츠개발) Java기반 웹 개발자 양성과정 A,엠비씨(MBC)아카데미 컴퓨터교육센터,AIG20230000433569,1,500020031223,201201399,11620,2024-03-18,2024-09-13,3,9,179,25.6,6.0,30,15,6925500,6925500,87.1,20010207,국가기간전략산업직종,C0054, 구로구,02-6956-2408,50.0,정보통신,정보기술,정보기술개발
(BIM)건축설계&실내건축설계(캐드+스케치업+레빗) B,하이미디어컴퓨터학원,AIG20230000450576,1,500020012631,200601553,11350,2024-03-18,2024-07-24,3,7,128,18.3,4.3,20,7,5019000,5019000,81.0,14030101,국가기간전략산업직종,C0054, 노원구,02-6337-0008,35.0,,,
건설공정공사관리,현대건설(주)기술교육원,AIG20230000439521,2,500020030953,200200110,11560,2024-03-18,2024-10-29,3,10,225,32.1,7.5,30,30,9373000,9373000,98.1,14010201,기업맞춤형훈련,C0054G, 영등포구,02-2163-0914,100.0,,,
냉난방시설관리자 양성(공조냉동산업기사+에너지기능사)자격취득,한성냉동용접학원,AIG20230000444845,1,500020019030,201100385,11560,2024-03-18,2024-07-17,3,7,121,17.3,4.0,20,15,4166400,4166400,98.6,15050202,국가기간전략산업직종,C0054, 영등포구,02-2637-7100,75.0,,,
